Tweet,Class,NumberOfNumbers,Automated Readability Index,Flesch Reading Ease,Linsear Write,AverageLengthOfPropositions,Flesch Kincaid Grade Level,NumberOfUppercaseWords,NumberOfSpecialCharacters,NumberOfPunctuationCharacters,Dale Chall Readability,AverageLengthOfWords,NumberOfTotalCharacters,NumberOfUpperCharacters,NumberOfLowercaseCharacters,NumberOfPropositions
"@ViroSciCollie I used to not feel that way, but then @rudderbutt",0,0,7.2,68.77,6.5,11.0,6.4,1,3,1,7.05,9.0,64,4,47,1
@pathhyena I'll do a hyena icon for you as soon as I get free time.  I have a toddler.  It might be a while.,0,0,-1.2,97.2,3.33,8.0,1.7,3,5,4,6.66,5.5,108,4,74,3
"@ChefSandy I blame \too far away to get punched in the face for it\"" syndrome.""",0,0,6.5,98.55,6.5,15.0,3.2,1,6,3,7.54,5.71,79,3,56,1
@VermyFox I can think of few crimes more hideous than ruining chicken for a fox.  Even wolves wouldn't go that far.  T_T,0,0,4.8,94.15,5.0,7.33,2.9,2,5,3,8.49,5.56,120,6,86,3
@VermyFox time to check the missing persons list and cross reference with Tyson foods company employees.,0,0,12.8,55.24,11.0,16.0,9.5,0,2,1,11.34,6.25,104,3,84,1
@BigCatDerek and then you sip some tea and be smug.  It's okay.  No one will judge.  Not with the number of giant cats you have.,0,0,1.8,96.89,3.5,6.25,1.8,0,6,5,6.57,5.12,128,6,89,4
"@BigCatDerek just remember that this person has likely never experienced the joy of seeing these animals so very close, likely never will.",0,0,14.6,40.69,15.0,22.0,13.1,0,3,2,6.88,7.29,138,3,111,1
"@Shadow_stallion we aren't strange, we just kind of go off the rails sometimes.  This just wasn't part of the plan... http://t.co/4FPmDq8Kcu",0,2,10.5,77.74,5.25,10.5,5.0,0,14,9,8.67,5.62,140,6,97,2
@DarioMouse second gorgeous sunrise in a row.,0,0,8.3,55.91,3.5,7.0,7.2,0,2,1,8.5,7.0,45,2,35,1
@pathhyena I found giving a pleasured squeak the first time you get pinched stops all pinching ever.,0,0,10.3,71.14,8.5,17.0,7.6,1,2,1,9.12,6.56,100,1,81,1
@Citrinelle what kind of setting do you enjoy role-playing in the most?,0,0,8.1,76.22,6.0,12.0,5.6,0,3,2,8.18,7.6,71,1,56,1
@ViroSciCollie after this bender you are gonna need an intervention,0,0,10.9,44.41,6.0,10.0,9.6,0,1,0,10.45,8.5,67,3,54,1
@SilverAutomatic they'd have been op and you know it.,0,0,6.6,79.26,4.5,9.0,4.4,0,3,2,7.59,15.0,53,2,40,1
"@VermyFox ahhh, at least you had a nice view for it.",0,0,2.1,94.15,4.5,11.0,2.9,0,3,2,7.05,5.0,52,2,37,1
"@VermyFox I wanted to take a picture of it too, but didn't want to do so behind the wheel.  I see foxes don't care.  :3",0,1,2.3,92.63,5.25,8.33,3.4,2,7,6,6.78,5.29,119,4,81,3
@TaniDaReal I wanna send you this.   http://t.co/t8Vrxwy7In     One of my favorite if you like stout.,0,2,7.8,89.24,2.75,7.5,2.7,1,8,4,11.38,6.0,101,7,64,2
@TaniDaReal I wonder if it's legal for me to send you some things for your collection...,0,0,8.0,80.62,8.0,16.0,6.0,1,5,4,8.38,6.83,88,4,64,1
"@SilverAutomatic this would have a very, VERY short blooper reel.  (O.o)",0,0,10.2,68.77,5.5,5.5,6.4,1,6,5,9.92,6.8,72,7,48,2
"@DJSnM I agree.  Folks use it to describe programmed reasoning, but it should mean learning from non-programmed input.",0,0,9.3,70.8,4.5,9.0,5.6,1,5,4,9.35,7.67,118,6,89,2
@SilverAutomatic was the baby made of FIRE?,0,0,7.0,55.91,3.5,7.0,7.2,1,2,1,8.5,6.75,43,6,29,1
@tweetsoutloud might I suggest crowdsourcing,0,0,18.8,32.56,3.5,5.0,10.0,1,1,0,13.36,11.0,44,1,38,1
"@elonmusk of course when we utilize more resources and time on tailgate parties than space exploration, we can't expect to find them easily.",0,0,14.2,65.05,13.5,23.0,9.9,0,4,3,9.58,6.46,140,0,114,1
@kiranlightpaw I could see how that could make you fur-ious,0,0,7.1,69.79,6.0,10.0,6.0,1,2,1,7.29,8.33,59,1,47,1
"@YiffSkritchMurr @ASYXCollie and fixes could stop complaining about wolves.  Don't like it, don't inhale.  X.x",0,0,11.9,72.32,4.25,5.0,5.0,0,8,6,11.38,6.6,110,10,76,3
"@kiranlightpaw shitty programming on that fruit container.  If you designed it,it wouldn't do that.",0,0,10.7,55.91,4.0,7.0,7.2,0,5,4,9.62,7.86,99,1,79,2
@kiranlightpaw whoo boy am I glad I'm out of there.  O.o,0,0,3.3,85.69,5.5,5.5,4.0,2,4,3,8.49,5.4,56,3,38,2
@YiffSkritchMurr because saying 8 makes them think of food (ate) and they bolt in search of someone to munch on.,0,1,10.5,76.56,11.0,20.0,7.6,0,4,3,9.37,5.38,112,3,85,1
RT @Tibb_Bear: @IRJakkob http://t.co/NHbMzmqlq8,0,1,32.4,8.2,2.0,4.0,13.1,1,9,3,31.47,6.33,47,10,24,1
"@VermyFox Soooo, the little one is asleep.  You know what that means...  Yep, we can watch the cartoons WE wanna watch.  #furrymarriage",0,0,6.0,89.45,3.0,7.33,2.6,1,9,7,8.3,6.1,135,7,95,3
"@VermyFox oh, he didn't watch it.  Just me and ithy.  :3",0,1,0.2,99.73,1.75,3.67,0.7,0,6,5,8.22,5.0,56,3,34,3
@VermyFox Ithunna and I watched that and immediately regretted how drunk we SHOULD have been before seeing it.  O.o,0,0,11.9,60.65,11.5,9.5,9.5,2,3,2,9.57,7.14,115,11,82,2
@Kyo_Foxtrot your base is so even.  O.o  Quite lovely.  I think the metallic might not work if you hadn't chosen that color for your eyes.,0,0,3.6,88.43,3.5,8.33,3.0,1,7,5,6.57,5.4,138,5,99,3
@Rudderbutt drawing had been the same for me,0,0,4.4,80.28,4.0,8.0,4.1,0,1,0,6.01,8.5,44,1,35,1
"@Dragoneer sorry, heh, I'm a very curious individual when unexplored phenomenon are available for exploration",0,0,15.9,13.95,12.5,15.0,15.0,1,4,3,12.8,8.22,109,2,89,1
@Dragoneer I could email a list of very easy but relevant questions.  X.x,0,0,6.8,83.66,6.5,6.5,4.8,1,3,2,10.35,6.0,73,3,54,2
"@Dragoneer questions being general like, how loud, how long did it last, did there seem to be a direction, what were weather conditions, etc",0,0,13.6,64.04,15.0,24.0,10.3,0,6,5,7.46,7.38,140,1,110,1
@Dragoneer knowing that someone actually heard it makes a difference.  Way more questions than I would spam your Twitter feed with.  X.x,0,0,8.3,68.77,5.5,7.33,6.4,1,4,3,9.92,6.3,136,5,104,3
@Dragoneer what city was this in?,0,0,3.6,99.23,2.0,6.0,0.9,0,2,1,6.57,6.5,33,1,25,1
@Dragoneer I had treated these videos with extreme skepticism before... I have so many questions for you because science.  X.x,0,0,8.5,69.79,4.5,6.67,6.0,2,6,5,10.45,7.25,126,4,96,3
@notch I would just like to state that after hundreds of hours of minecraft I still have no temptation to airate a cow with a pickaxe. O.o,0,0,11.6,77.91,14.5,13.5,9.1,2,3,2,9.65,6.1,138,3,106,2
"RT @2_gryphon: I can't.... I can't.... Too much...\
\
https://t.co/926E72SHxT",0,6,18.7,87.72,5.0,4.0,3.3,3,23,16,14.61,3.17,77,9,30,2
@FoxAmoore we can't wait.  Come Find Me has become my happy place.  I savor rush hour traffic now.  :3,0,1,1.8,90.46,2.5,4.75,2.2,1,6,5,7.27,5.0,102,6,68,4
"@CasualFennec who gets flustered at irrefutable scientific fact?  Well, science deniers in general aside...",0,0,13.3,38.99,4.0,7.0,9.6,0,6,5,11.88,8.38,107,3,84,2
"RT @9GAG: Why isn't this a thing?\
http://t.co/afYi4KZHWO http://t.co/FSLJkwFVQa",0,2,20.8,45.42,5.5,8.0,9.2,2,15,7,16.36,2.5,80,19,36,1
@MikaseCoyote blowing raspberries... B-blowing raspberries,0,0,31.9,-18.21,4.5,5.0,17.0,0,5,4,16.52,10.0,58,3,46,1
@CasualFennec what if we consider foxes a privilege?  :D,0,0,7.7,36.96,6.5,4.5,10.3,1,3,2,12.86,8.5,56,3,41,2
@VermyFox then theres wolves you are mean to for two decades who still bound over to greet you.  Go figure.,0,0,9.1,93.48,9.0,10.0,5.2,0,3,2,8.58,6.17,107,3,81,2
"@Pouchmonster oh that's right, you did mention that before.  :3",0,1,8.5,78.25,5.0,5.0,4.8,0,5,4,8.87,9.5,63,1,46,2
@Pouchmonster you don't even have to mention that it's Wal-Mart,0,0,9.0,78.25,5.0,10.0,4.8,0,4,3,10.45,7.5,63,3,47,1
RT @marsrader: 2020 NASA rover will include an MIT device to produce oxygen on Mars: http://t.co/mk8lrgxzt0 http://t.co/eudwdBURsB,0,3,18.7,54.22,10.5,17.0,9.9,3,16,6,19.34,5.4,130,14,81,1
@Sable_Gryphon and this will be my Positive Spin of the Day.  (tm),0,0,5.8,84.68,6.0,6.0,4.4,0,5,3,8.18,6.0,66,5,44,2
@pathhyena could you imagine working with those people sober?,0,0,10.8,62.34,4.5,9.0,6.8,0,2,1,11.1,7.0,61,0,51,1
"@notch I bet the secret involves pepperoni, transdimensional life forms  and a refurbished leafblower.  I've always suspected.",0,0,12.7,37.47,5.75,8.5,10.1,2,5,4,11.49,7.82,126,2,101,2
@SilverAutomatic and because of that they only seem like idiots because everyone else neo g so stupid hurts them.  O.o,0,0,11.6,59.64,12.0,10.0,9.9,0,3,2,10.16,5.57,118,3,92,2
@SilverAutomatic based on last night's tweets perhaps leaders of soul society are dicks because most they are in charge of are idiots?,0,0,13.8,57.61,13.0,22.0,10.7,0,3,2,10.47,6.6,134,2,108,1
Injured possum being taken to safer location by animal control.  To many children round here,0,0,6.5,55.4,3.75,7.5,7.4,0,1,1,9.27,6.5,92,2,74,2
"Meaning of course this ones probably not rabid, after following her around a bit I see that her back leg is injured.",0,0,9.9,66.07,13.0,22.0,9.5,1,2,2,8.32,5.38,116,2,91,1
Do rabid possums love fresh tortillas?  Let's science.  ...  The answer is yes. http://t.co/JE2NfKaEPv,0,1,13.0,64.88,3.0,2.8,5.8,0,12,9,13.68,6.14,102,9,64,5
"Wait, that's not a kitty.  I should stop petting it.  Eventually. http://t.co/fxH7RwoETe",0,1,11.0,56.93,3.0,3.0,6.8,1,10,7,11.83,6.0,88,7,57,4
"@faralcane Urf.  :(  well, time for a horse to earn her keep.  O.o",0,0,4.6,93.14,6.5,4.33,3.3,0,7,6,8.18,4.67,66,2,42,3
"@LuxFoxxie to readily outfox any opponent, logic states one must merely be in possession of a superior number of foxes.  - Priestess Luna",0,0,14.0,32.22,15.5,11.5,14.2,0,4,3,12.62,6.92,137,4,106,2
Near Blizzard conditions in Dallas.  Time for a white wolf to wander about aimlessly barefoot in the fluff.,0,0,6.3,79.26,4.5,9.0,4.4,0,2,2,9.35,6.5,107,4,83,2
@VermyFox @Fuzzypaw My son loved it.,0,0,5.9,90.77,2.0,6.0,2.1,0,3,1,11.83,7.0,36,4,24,1
@Twilord with autocorrect you always write some thong you didn't Nintendo,0,0,11.1,60.31,6.5,11.0,7.6,0,2,1,9.92,6.5,73,2,59,1
@Twilord I meant our.  Twitter by phone doesn't always work out.  T_T,0,0,3.6,90.77,2.0,4.0,2.1,2,5,3,7.88,4.86,69,5,46,3
@Twilord @ViroSciCollie because being willing to be in one increases or overall sexiness?,0,0,13.0,41.36,8.5,13.0,10.7,0,3,1,10.35,9.25,89,4,70,1
@ViroSciCollie finding all of those things in one person PLUS the kind of generosity to share what you love the most must be very difficult.,0,0,12.9,63.02,15.5,25.0,10.7,1,2,1,8.67,7.11,140,7,107,1
@ViroSciCollie provided the right people are available.  I certainly understand it takes a specific type of person for it to work,0,0,8.0,52.36,6.75,10.5,8.6,1,2,1,8.67,7.44,129,4,102,2
@ViroSciCollie I actually kind of feel that the best response to inflation during 30 years of stagnating pay might be such an arrangement...,0,1,14.2,48.13,16.5,23.0,12.3,1,5,3,10.27,6.9,140,4,108,1
@FurryFiesta I'm gonna need to bring a lot more digital video recording devices to next con,0,0,8.9,63.7,9.0,16.0,8.4,1,2,1,11.34,6.25,91,3,71,1
"@ViroSciCollie I forget if you mentioned, do you live with all of your mates at present?  Do you find it helps a lot financially?",0,0,5.2,84.68,6.0,12.0,4.4,1,4,3,7.52,6.7,129,5,96,2
@Zaush I think it's tighty,0,0,1.8,117.16,1.5,5.0,-1.9,1,2,1,10.2,5.5,26,2,18,1
@CasualFennec ain't no one got time fo that!  (But God do we wish we did!),0,0,0.8,97.7,3.25,7.5,1.5,0,6,5,7.17,4.67,74,4,49,2
"@TakodaWuff \You won't believe what this Weather Channel executive got paid for tricking middle aged housewives into clicking everything!\""""",0,0,18.3,43.73,11.5,19.0,11.9,0,7,4,9.57,6.29,140,5,110,1
@Tirrelous not so sure.  Furries tend to have... Accidents.  X.x,0,0,6.0,83.32,2.0,2.5,2.9,0,7,6,11.78,6.4,64,4,42,4
"@LuxFoxxie if I get sick I have to use vacation time, which I get one week of a year, which also does not roll over.",0,0,8.4,79.94,13.5,25.0,8.3,3,4,3,6.14,5.29,116,5,83,1
I love to walk in fresh powdery snow barefooted.  Does anyone else love this?  My wife seems to feel this is unusual.,0,0,2.3,89.45,3.33,7.33,2.6,1,3,3,6.87,5.3,117,3,88,3
@casidhe from my office window. http://t.co/vo4sutSNMV,0,1,20.1,6.17,3.0,3.0,13.9,0,7,3,17.09,6.33,54,4,37,2
@SethMacFarlane preferably Big Bird.  At least his big imaginary friend doesn't demand tax exempt status.,0,0,10.6,55.4,3.75,7.5,7.4,0,4,3,10.32,6.08,105,6,80,2
Snow.  That is all.,0,0,-1.9,118.18,1.0,2.0,-2.3,0,2,2,0.2,4.0,19,2,11,2
@erinpoop draw a super cute gold fish super excited at the buried treasure ornament in the muddle of his fishbowl o.o,0,0,10.8,58.62,13.5,21.0,10.3,0,2,1,9.94,5.71,117,0,95,1
@fcain I wonder what this does to the over-all albedo of this hemisphere.  It has to account for some slight change in short-term weather.,0,0,6.9,84.68,5.0,12.0,4.4,1,5,4,6.86,7.1,138,2,107,2
@GuinnessFox Yeah I got here like... 8 years ago.  :3  Sometimes Texas doesn't let you go.,0,2,2.7,91.48,2.0,8.0,1.8,1,8,7,9.82,4.67,90,6,57,2
Here's a pretty adorable cosplay by a little guy at #TFF2015    Calvin and Hobbes for the win. http://t.co/EWYKwAVDAU,0,4,13.0,70.13,9.0,9.0,8.0,1,8,4,12.42,5.75,117,15,70,2
"@FoxAmoore Yaaay, go git that sunshine state!",0,0,8.3,81.29,3.5,7.0,3.7,0,3,2,10.75,6.0,45,3,33,1
@FoxAmoore I can't believe you managed all that so late down in the pit.  That was fun!  I'm glad I caught as much as I did!,0,0,0.5,96.48,3.67,8.67,2.0,4,6,5,5.28,5.11,124,7,84,3
@JD_Puppy Telephone had a bucket with your name on it.  I crammed a bunch of cash in it because the power of Telephone compelled me.  Sowwy.,0,0,5.6,83.66,5.5,8.67,4.8,1,5,3,6.71,6.7,140,7,101,3
@accelosnowcat that looks like Togo sitting beside him,0,0,10.3,46.44,4.0,8.0,8.8,0,1,0,9.95,8.0,54,1,45,1
@Citrinelle standing up at the far end now,0,0,3.2,88.74,3.0,8.0,2.9,0,1,0,7.98,9.0,42,1,33,1
@Citrinelle down there now.  I'm a list-looking redhead,0,0,8.3,75.88,1.5,4.0,3.7,1,4,3,9.76,9.67,55,2,41,2
@Dragoneer it's used as a bleaching agent,0,0,5.6,89.75,2.5,7.0,2.5,0,2,1,10.75,7.67,41,1,32,1
@Citrinelle after the parade my wife is tryin to find you to get her commission.  :)  where's a good time and place to meet?,0,0,4.6,93.64,5.5,12.0,3.1,0,6,5,6.95,5.78,124,1,92,2
@Citrinelle we just missed you I think.  O.o,0,0,3.8,105.66,3.0,4.0,0.5,1,3,2,9.95,6.33,44,3,30,2
I have arrived at Furry Fiesta.,0,0,2.0,56.93,3.0,6.0,6.8,1,1,1,9.2,6.0,31,3,22,1
"All pack up, in the car, and heading to TFF!",0,0,0.1,103.63,4.0,10.0,1.3,1,3,3,7.29,4.25,44,4,28,1
@pathhyena I'm miserable at lying about it.  When pressured I told my coworkers hastily that I was going to space and ran from the room. o.o,0,0,5.7,75.2,7.0,8.67,6.0,3,5,4,7.93,6.09,140,4,105,3
"@pegasus316 @withoneb @Texas_Cinder though usually for big measurements like that, those of us in the scientific community use the megashaq.",0,3,17.1,34.26,16.0,20.0,13.5,0,6,2,10.94,9.0,140,2,110,1
"@pegasus316 @withoneb @Texas_Cinder its a pretty standard unit of measurement.  On average it is approximately 179,141,250 Shaqs to the moon",0,12,11.8,44.41,6.5,10.0,9.6,0,7,3,13.61,8.25,140,4,97,2
@MossFox *heavy breathing*  (o.o),0,0,14.7,75.88,1.0,4.0,3.7,0,6,3,15.68,6.0,33,2,21,1
"@ViroSciCollie sadly, if everyone was scientifically educated and made choices based on reason, vaccinations would not need to be forced. :p",0,0,16.0,24.78,15.5,10.5,15.0,0,5,4,11.45,7.36,140,3,112,2
@Sirodbcollie congrats and warmest woofle wishes on this happy occasion!,0,0,13.2,35.95,6.0,10.0,10.7,0,2,1,13.61,7.43,72,1,60,1
"@accelosnowcat man, how bad can those fuckers throttle you?!",0,0,10.3,62.34,4.5,5.0,6.8,0,4,3,9.35,9.33,60,0,48,2
"@Rygerfrost Yaaay!   Carefree bachelor life is dooooomed!  :)  seriously though, very happy for you both!",0,0,11.3,64.37,3.75,5.0,6.0,0,7,6,10.75,7.0,105,3,77,3
It makes me happy when a dog just sleeps right on me. http://t.co/kbMHeyiKiS,0,0,8.2,92.12,5.5,6.5,3.6,0,6,3,11.57,5.33,76,5,53,2
"Violets are blue,\
Roses are red,\
Wait what day is it?\
Holy shit I am dead.  \
\
X.x",0,0,1.4,96.69,4.25,7.0,1.9,1,10,5,7.77,3.07,86,6,51,2
@SilverAutomatic if you turn this fandom around its just gonna bite a pillow and be happily resigned to its fate.  O.o,0,0,10.8,67.08,12.5,10.5,9.1,0,3,2,9.19,6.0,118,3,91,2
@marblestheskunk I have no opinion on @furbuy but I am transfixed by how low your battery is... It's like an accusation from a dying victim.,0,0,6.7,75.71,6.25,12.5,5.8,2,7,5,8.68,7.67,140,3,106,2
@Sable_Gryphon but I had nearly 800 submissions.  D:  I feel so guilty taking that much room with refrigerator-level artwork from long ago,0,1,8.7,68.77,5.5,11.0,6.4,3,7,3,9.21,7.18,138,5,102,2
@TekrinPegasus also be prepared for minor earthquakes and tornadoes and hail the size of tribbles.,0,0,12.4,47.79,8.5,15.0,10.3,0,2,1,10.7,7.75,98,2,80,1
@Shadow_stallion being a meteorologist in Texas must be so traumatic...,0,0,12.8,27.49,7.0,10.0,11.9,0,5,3,10.45,10.5,71,2,55,1
@elonmusk Im happy the launch went well and the primary mission was successful. I have no doubt we will see that barge tow it home next time,0,0,5.2,83.15,6.75,13.5,5.0,1,2,1,8.98,5.82,140,2,110,2
@OxyUrsine I would not be able to renew my voter registration hard enough,0,0,7.2,66.74,6.5,13.0,7.2,1,1,0,9.14,7.0,73,3,57,1
@CasualFennec oops,0,0,19.6,-6.7,1.0,2.0,14.7,0,1,0,19.53,8.0,18,2,14,1
@bravoart @VermyFox a mustard covered wolf who agrees with the anti-vaccine minority?,0,0,13.6,42.38,7.0,12.0,10.3,0,4,2,14.76,7.5,85,2,68,1
"@YiffSkritchMurr my curse is that I'm deeply interrested in the SCIENCE of that.  If it helps you, it could help others.  Get ready Nobel...",0,0,5.1,88.74,3.67,8.0,2.9,2,8,7,9.3,7.38,140,14,93,3
@YiffSkritchMurr this post seemed more of a Tuesday kind of thing.  :),0,0,8.9,85.69,6.0,6.0,4.0,0,4,3,7.05,7.5,70,4,50,2
"@Shadow_stallion the soft, warm, strangling pretzel who quietly plots your demise is pleased that you think only to blame the vehicles.",0,0,14.9,67.08,13.5,21.0,9.1,0,5,3,10.69,7.09,135,1,109,1
@TheScienceGuy a simple way to get anyone involved in reviewing and understanding the data for themselves.  No political talking heads there,0,0,10.5,52.36,5.75,10.5,8.6,0,2,1,10.92,8.22,140,4,113,2
@FoxAmoore my wallet is ready,0,0,4.6,66.4,2.5,5.0,5.2,0,1,0,10.2,6.67,29,2,22,1
@SebrisKiba nice to bump into another white wolf with a fascination for storms,0,0,9.0,58.28,8.5,13.0,8.4,0,1,0,7.93,6.29,78,2,63,1
@pathhyena lol!   Oh dear.  :3,0,1,2.7,83.32,2.5,1.67,2.9,0,4,3,13.36,6.5,30,1,17,3
"@pathhyena canines, felines, and inexplicable hybrids.  :) http://t.co/UeiY4Hyq6c",0,2,31.2,-3.32,5.0,4.0,15.5,0,11,7,24.29,8.4,81,3,57,2
@WTFcooner that's the first thing to go in anaphylaxis,0,0,7.1,53.88,5.5,9.0,8.0,0,2,1,7.59,10.0,54,3,41,1
@VitaiSlade here's my info.  Having a toddler is a bit of a roadblock to fast levelling.  :3 http://t.co/pV1E1Uv7U1,0,5,8.2,62.34,5.0,6.0,6.8,0,10,6,12.86,6.57,115,7,74,3
"@VitaiSlade nope, I don't get to travel much, working all the time",0,0,6.1,84.68,6.0,12.0,4.4,1,4,3,9.5,6.0,66,3,48,1
"RT @matthewebel: Oh God, these reviews are priceless. And this shit is frightening. http://t.co/mskGdPEZS0 (Thanks @VoidBurger) http://t.co",0,1,15.5,74.15,2.83,5.67,4.3,1,17,10,14.14,7.12,139,13,92,3
"@VitaiSlade no promise, but I will let you know tonight.",0,0,5.7,86.71,5.0,10.0,3.7,1,3,2,5.71,8.0,56,3,41,1
"@VitaiSlade I can ask my wife.  She might be willing, depending on what she has planned.",0,0,3.8,88.74,4.0,8.0,2.9,1,4,3,6.99,7.5,88,4,64,2
@VitaiSlade what day you arriving?,0,0,9.3,49.48,3.5,5.0,7.6,0,2,1,10.2,7.0,34,2,26,1
"@VitaiSlade yeah, I can actually see my apartment from only the fifth floor of the hotel.  If we didn't have the pup I could walk to and fro",0,0,4.4,82.65,7.0,14.0,5.2,2,4,3,6.59,5.29,140,5,103,2
@VitaiSlade I'm kinda froggy.  Heh,0,0,8.4,49.48,2.5,2.5,7.6,1,3,2,16.52,6.0,34,4,22,2
@VitaiSlade doable!  We got 28 in a couple of days here in town.  There's like... Four just in the little park,0,1,3.6,94.66,4.75,7.0,2.7,0,8,6,8.67,5.14,110,5,74,3
@VitaiSlade we will have fun flipping them back and forth.  There's a ton of fast missions in easy walking distance of the hotel too!,0,0,6.0,84.68,5.5,12.0,4.4,0,4,3,8.18,6.22,133,3,102,2
"@SethMacFarlane and yet they are patently fearless in the face of measles, smallpox and devastating global climate change.",0,0,15.0,53.21,11.0,18.0,10.3,0,3,2,11.55,8.33,122,3,99,1
@Fuzzypaw baahahahahaha!,0,0,33.7,-133.6,1.0,2.0,32.4,0,2,1,19.53,10.5,24,1,20,1
@BlaiddWolfe yes.  Three is enough.  I'm curious.  O.o,0,0,8.5,80.28,4.0,2.0,4.1,1,6,5,9.95,7.0,54,5,33,4
@ScientificScott wait till he goes noocular,0,0,11.4,48.47,4.0,6.0,8.0,0,1,0,9.2,9.0,43,2,35,1
"@ViroSciCollie it humorous to many now, but it's getting more and more likely to see that two incomes will no longer pay the rent...",0,0,12.0,72.5,14.0,24.0,9.1,0,6,5,7.46,6.83,132,3,100,1
"@CasualFennec it worked for me, and fennecs are way cuter than wolves, so you could get away with it I bet!",0,0,8.6,84.0,11.5,21.0,6.8,1,4,3,8.44,6.14,107,3,80,1
